r_0,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,r_11,r_12,r_13,r_14,r_15,r_16,r_17,r_18,r_19,r_20,r_21,r_22,r_23,r_24,r_25,r_26,r_27,r_28,r_29,r_30,r_31,r_32,r_33,r_34,r_35,r_36,r_37
0.5426444,0.538454,0.5272213,0.5484734,0.5573716,0.5494694,0.5460822,0.5615382,0.5536196,0.5327385,0.5345039,0.5194742,0.5288564,0.5464373,0.5399801,0.5574432,0.5350459,0.5484463,0.5404556,0.5400042,0.5537386,0.5363702,0.524093,0.5428458,0.5450593,0.5427083,0.5389463,0.5514499,0.5557366,0.5371061,0.5311414,0.5276147,0.5359717,0.5418706,0.5416802,0.5469635,0.5322316,0.5418084
0.5426444,0.538454,0.5272213,0.5484734,0.5573716,0.5494694,0.5460822,0.5615382,0.5536196,0.5327385,0.5345039,0.5194742,0.5288564,0.5464373,0.5399801,0.5574432,0.5350459,0.5484463,0.5404556,0.5400042,0.5537386,0.5363702,0.524093,0.5428458,0.5450593,0.5427083,0.5389463,0.5514499,0.5557366,0.5371061,0.5311414,0.5276147,0.5359717,0.5418706,0.5416802,0.5469635,0.5322316,0.5418084
0.5472331,0.5542821,0.5368768,0.5518265,0.5609902,0.5524392,0.5502524,0.5615755,0.5537162,0.5397948,0.5385324,0.5589895,0.5313714,0.5467313,0.5481819,0.5610399,0.5390489,0.550569,0.5514939,0.551802,0.5586745,0.5457363,0.5465877,0.5437975,0.5502935,0.5486003,0.5509718,0.5555127,0.5579,0.5421069,0.5580465,0.5411084,0.5470653,0.5426656,0.5482784,0.549908,0.5353702,0.544437
0.5472331,0.5542821,0.5368768,0.5518265,0.5609902,0.5524392,0.5502524,0.5615755,0.5537162,0.5397948,0.5385324,0.5589895,0.5313714,0.5467313,0.5481819,0.5610399,0.5390489,0.550569,0.5514939,0.551802,0.5586745,0.5457363,0.5465877,0.5437975,0.5502935,0.5486003,0.5509718,0.5555127,0.5579,0.5421069,0.5580465,0.5411084,0.5470653,0.5426656,0.5482784,0.549908,0.5353702,0.544437
0.5558874,0.5558363,0.5441756,0.5542226,0.5639586,0.5540409,0.5519217,0.5638296,0.554804,0.5435156,0.5432591,0.5599901,0.5468173,0.5505529,0.5551292,0.5637217,0.5416345,0.557471,0.556768,0.5621634,0.5619353,0.5475193,0.553419,0.544842,0.5507486,0.554043,0.5562342,0.5563483,0.5665787,0.545819,0.5595402,0.5485493,0.5580454,0.5451033,0.5486511,0.5515409,0.5425116,0.5464397
0.5558874,0.5558363,0.5441756,0.5542226,0.5639586,0.5540409,0.5519217,0.5638296,0.554804,0.5435156,0.5432591,0.5599901,0.5468173,0.5505529,0.5551292,0.5637217,0.5416345,0.557471,0.556768,0.5667291,0.5619353,0.5475193,0.553419,0.544842,0.5507486,0.554043,0.5562342,0.5563483,0.5665787,0.545819,0.5595402,0.5485493,0.5580454,0.5451033,0.5486511,0.5515409,0.5425116,0.5464397
0.5565107,0.5596161,0.5442584,0.5618724,0.5655469,0.5548815,0.5584929,0.5649393,0.5592125,0.5450245,0.5480329,0.5624517,0.5539749,0.5553308,0.5551501,0.5665371,0.5475127,0.5612596,0.559602,0.5686425,0.5632997,0.5510205,0.5586632,0.5572566,0.5538487,0.5571109,0.56684,0.561826,0.5720609,0.5473038,0.5645953,0.5493454,0.5590013,0.5511399,0.5490039,0.5570498,0.5484539,0.5518494
0.5565107,0.5596161,0.5442584,0.5618724,0.5655469,0.5624421,0.5584929,0.5649393,0.5602822,0.5450245,0.5480329,0.5624517,0.5539749,0.5553308,0.5551501,0.5665371,0.5475127,0.5612596,0.559602,0.5686425,0.5632997,0.5510205,0.5586632,0.5572566,0.5538487,0.5571109,0.56684,0.561826,0.5720609,0.5473038,0.5645953,0.5493454,0.5590013,0.5511399,0.5490039,0.5570498,0.5484539,0.5518494
0.5566647,0.5608876,0.5460814,0.5697532,0.5670117,0.5624421,0.5610162,0.5678648,0.5602822,0.5471972,0.5484678,0.5640947,0.5540175,0.5575756,0.5566761,0.5687588,0.5478715,0.5614259,0.5607766,0.5687098,0.5636737,0.5565362,0.5613661,0.561467,0.5559197,0.5580692,0.5670914,0.5618893,0.5729223,0.548663,0.5681502,0.5594272,0.5598857,0.5513377,0.5593547,0.5579862,0.5528249,0.5551729
0.5566647,0.5608876,0.5460814,0.5697532,0.5670117,0.5628702,0.5610162,0.5678648,0.5616555,0.5471972,0.5484678,0.5640947,0.5540175,0.5575756,0.5566761,0.5687588,0.5478715,0.5614259,0.5607766,0.5687098,0.5636737,0.5565362,0.5639403,0.561467,0.5559197,0.5580692,0.5670914,0.5618893,0.5729223,0.548663,0.5681502,0.5594272,0.5598857,0.5513377,0.5593547,0.5579862,0.5528249,0.5551729
0.5566691,0.5628474,0.5556937,0.5704291,0.5695825,0.5628702,0.5640014,0.5689473,0.5616555,0.5510496,0.5508206,0.5646728,0.5594197,0.5577254,0.558188,0.5690672,0.5528414,0.5655301,0.5626559,0.5695551,0.565164,0.5602482,0.5639403,0.5663358,0.5563688,0.5621141,0.5677078,0.5621706,0.5730114,0.5486914,0.5692365,0.560044,0.5633476,0.5551406,0.5600804,0.5638351,0.5554662,0.5557064
